nohup: ignoring input
Initializing TensorFlow...
Running util_scripts.evaluate_metrics()...
Logging output to results/002-pgan-masks_complete_full_no_empty-preset-v2-1gpu-fp32/metric-swd-16k.txt
Streaming data using dataset.TFRecordDataset...
WARNING:tensorflow:From /nobackup/data/mehfo331/Code/progressive_growing_of_gans/dataset.py:74: tf_record_iterator (from tensorflow.python.lib.io.tf_record) is deprecated and will be removed in a future version.
Instructions for updating:
Use eager execution and: 
`tf.data.TFRecordDataset(path)`
WARNING:tensorflow:From /nobackup/data/mehfo331/Conda/PGAN/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
Dataset shape = [1, 256, 256]
Dynamic range = [0, 6]
Label size    = 0
Initializing metrics.sliced_wasserstein.API...

Snapshot  Time_eval   SWDx1e3_256  SWDx1e3_128  SWDx1e3_64   SWDx1e3_32   SWDx1e3_16   SWDx1e3_avg  
7840      15m 43s     8.6986       2.8568       2.8529       3.5056       4.5455       4.4918       
7800      15m 43s     7.6685       2.8189       3.0767       4.4358       7.1527       5.0305       
7760      15m 48s     8.4184       3.5484       2.2938       3.3434       4.5198       4.4247       
7720      15m 45s     4.3868       3.1929       5.5452       6.9663       9.9294       6.0041       
7680      15m 44s     7.8243       2.9966       2.5806       3.2687       4.7991       4.2939       
7640      15m 44s     7.9128       3.6286       2.4029       2.4867       3.1471       3.9156       
7600      15m 44s     6.1419       3.1075       3.1120       3.9533       4.4677       4.1565       
7560      15m 44s     7.9500       2.7289       1.9309       2.8397       3.9421       3.8783       
7520      15m 47s     7.4867       4.5292       2.7597       2.7110       3.7738       4.2521       
7480      15m 44s     7.8337       4.3532       2.5047       2.7041       2.9325       4.0657       
7440      15m 43s     6.9434       4.2661       2.2303       2.7287       3.7848       3.9907       
7400      15m 43s     7.0422       4.1367       2.0824       2.7769       3.3326       3.8742       
7360      15m 42s     8.4440       5.7674       3.6731       3.6691       4.1040       5.1315       
7320      15m 40s     4.7479       3.3233       2.0209       2.3142       4.7262       3.4265       
7280      15m 44s     4.7383       3.3629       1.9978       2.5943       3.4022       3.2191       
7240      15m 43s     4.6189       2.7675       2.1879       2.7108       3.7801       3.2130       
7200      15m 42s     4.3279       4.4513       3.2379       4.0190       4.2873       4.0647       
7160      15m 44s     6.7152       5.6610       4.2859       4.2055       5.2356       5.2206       
7120      15m 43s     10.6989      6.6727       5.7045       6.0893       6.7368       7.1804       
7080      15m 45s     9.7991       5.3637       3.7487       2.9271       2.9043       4.9486       
7040      15m 43s     11.7115      4.3065       2.5189       2.8223       4.8871       5.2493       
7000      15m 45s     14.9201      6.8566       3.5553       3.0667       3.7756       6.4349       
